"","Age","Country","TRAD_F_1","TRAD_F_2","TRAD_F_3","TRAD_F_4","TRAD_F_5","TRAD_F_6","TRAD_F_7","TRAD_F_8","TRAD_F_9","TRAD_F_10","TRAD_F_11","TRAD_F_12","TRAD_M_13","TRAD_M_14","TRAD_M_15","TRAD_M_16","TRAD_M_17","TRAD_M_18","SEX_BIN","ATG1R","ATG2R","ATG3R","ATG4R","ATG5R","ATL1R","ATL2R","ATL3R","ATL4R","ATL5R","SSM","SSP","CONTBIN","ATTGL","GRTRAD","REL_1rec","REL_2rec","RELIGIOSITY_NEW","ATT_GAY","ATT_LESB","ATT_GL","Numb_Contacts","Meanqual","RELIGIOSITY","Contact2"
"9352",23,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact",NA,NA,2,3,1.7,NA,NA,NA,10,4.5,1.7,20
"9353",22,"Belgium",1,4,1,1,6,1,4,5,5,4,1,4,1,1,1,1,1,1,"Female",4,4,4,4,4,4,4,4,4,4,5,4,"Contact",4,2.4,3,4,2.8,4,4,4,1,2,2.8,-0.5
"9354",36,"Belgium",5,4,1,1,6,1,6,3,6,1,2,1,1,1,1,1,1,NA,"Female",4,4,3,4,4,4,4,4,4,4,6,6,"Contact",3.9,2.53333333333333,2,2,1.1,3.8,4,3.9,3,4,1.1,4.5
"9355",20,"Belgium",4,3,2,1,6,1,6,5,6,5,5,4,2,4,2,2,2,3,"Female",4,4,1,4,4,4,4,1,4,4,6,5,"Contact",3.4,3.53333333333333,2,3,1.7,3.4,3.4,3.4,3,NA,1.7,NA
"9356",23,"Belgium",6,1,1,1,5,1,5,1,4,1,1,3,2,4,2,2,2,3,"Female",4,4,2,4,3,4,4,2,4,3,5,5,"Contact",3.4,2.6,2,2,1.1,3.4,3.4,3.4,2,NA,1.1,NA
"9357",21,"Belgium",3,3,1,1,3,1,4,4,4,1,1,3,3,3,3,3,3,3,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"Contact",4,2.46666666666667,2,2,1.1,4,4,4,3,4,1.1,4.5
"9358",20,"Belgium",3,1,2,1,4,1,5,5,4,2,1,4,3,3,3,2,2,2,"Female",4,4,2,4,4,4,4,2,4,4,6,5,"Contact",3.6,2.6,2,2,1.1,3.6,3.6,3.6,9,4,1.1,13.5
"9359",20,"Belgium",6,3,1,1,6,1,6,6,6,2,1,3,3,3,1,1,1,2,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"Contact",3.8,2.93333333333333,2,2,1.1,3.8,3.8,3.8,11,4,1.1,16.5
"9360",19,"Belgium",1,4,3,1,6,3,6,3,4,3,1,1,6,6,6,6,6,6,"Female",4,3,1,3,1,4,3,1,3,1,1,1,"Contact",2.4,3.8,5,6,5,2.4,2.4,2.4,6,3,5,3
"9361",25,"Belgium",2,1,1,1,5,1,5,2,5,2,1,1,4,3,3,3,4,3,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"Contact",4,2.53333333333333,2,2,1.1,4,4,4,8,4.5,1.1,16
"9362",20,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",4,4,4,4,3,4,4,4,4,3,6,5,"Contact",3.8,NA,2,2,1.1,3.8,3.8,3.8,5,4.5,1.1,10
"9363",22,"Belgium",5,5,2,1,4,3,6,5,6,5,3,4,4,3,2,2,2,1,"Female",2,2,1,4,3,3,2,1,4,3,4,4,"Contact",2.5,3.66666666666667,3,3,2.2,2.4,2.6,2.5,2,4,2.2,3
"9364",19,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact",NA,NA,4,3,2.7,NA,NA,NA,4,4.5,2.7,8
"9365",28,"Belgium",2,2,2,1,6,1,3,2,2,2,2,2,6,2,2,2,2,2,"Female",4,4,3,4,4,4,4,3,4,4,2,2,"Contact",3.8,2.46666666666667,3,3,2.2,3.8,3.8,3.8,3,3.5,2.2,3
"9366",20,"Belgium",4,5,2,1,4,1,4,4,5,4,4,5,3,2,3,4,3,3,"Female",2,2,2,2,3,2,2,2,2,3,3,1,"Contact",2.2,3.4,2,2,1.1,2.2,2.2,2.2,2,2,1.1,-1
"9367",26,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Contact",NA,NA,5,6,5,NA,NA,NA,5,2,5,-2.5
"9368",21,"Belgium",5,5,1,1,6,2,5,4,4,4,4,3,6,6,4,4,4,5,"Female",4,4,1,4,4,4,4,4,4,4,6,3,"Contact",3.7,4,3,3,2.2,3.4,4,3.7,8,4,2.2,12
"9369",22,"Belgium",4,3,1,1,2,1,4,2,2,2,2,2,4,4,3,2,3,4,"Female",4,4,2,4,4,4,4,2,4,4,5,5,"Contact",3.6,2.46666666666667,3,3,2.2,3.6,3.6,3.6,7,4.66666666666667,2.2,15.1666666666667
"9370",23,"Belgium",3,2,2,3,6,1,4,4,3,3,1,2,4,4,3,3,4,3,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"Contact",3.8,2.93333333333333,3,3,2.2,3.8,3.8,3.8,5,4.5,2.2,10
"9371",23,"Belgium",1,3,2,1,2,1,2,3,2,1,1,3,3,3,1,2,1,1,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"Contact",3.8,1.86666666666667,3,3,2.2,3.8,3.8,3.8,4,3,2.2,2
"9372",48,"Belgium",6,5,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,"Female",4,4,3,4,4,4,4,3,4,4,5,4,"Contact",3.8,2,2,3,1.7,3.8,3.8,3.8,7,3.5,1.7,7
